player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Brock Faber,MIN,PIM,17.0,0.0,0.0,1.0,1.0,,0.0,17.0,1.0,,,
Jeremy Lauzon,VGK,PIM,9.0,0.0,0.0,0.0,0.0,,1.0,9.0,-1.0,,,
Mario Ferraro,SJ,PIM,7.0,0.0,0.0,0.0,0.0,,1.0,7.0,0.0,,,
Kaiden Guhle,MTL,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,0.0,-1.0,,,
Barclay Goodrow,SJ,PIM,5.0,0.0,0.0,0.0,0.0,,1.0,5.0,-1.0,,,
Jake Neighbours,STL,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,
Dylan Holloway,STL,PIM,5.0,0.0,0.0,3.0,3.0,,1.0,5.0,3.0,,,
Keegan Kolesar,VGK,PIM,5.0,0.0,0.0,0.0,0.0,,1.0,5.0,-1.0,,,
Jake Middleton,MIN,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,-1.0,,,
Martin Necas,COL,Points,4.0,0.0,1.0,3.0,4.0,,0.0,0.0,1.0,,,
Noah Hanifin,VGK,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
William Eklund,SJ,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Chris Kreider,ANA,Points,4.0,0.0,1.0,3.0,4.0,,0.0,0.0,2.0,,,
Matthew Tkachuk,FLA,Goals,3.0,0.0,3.0,0.0,3.0,,1.0,0.0,2.0,,,
Jordan Staal,CAR,Plus/Minus,3.0,0.0,1.0,0.0,1.0,,0.0,0.0,3.0,,,
Gustav Forsling,FLA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,2.0,,,
Jacob Bernard-Docker,DET,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Matthew Tkachuk,FLA,Points,3.0,0.0,3.0,0.0,3.0,,1.0,0.0,2.0,,,
Nikolaj Ehlers,CAR,Plus/Minus,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,3.0,,,
Thomas Harley,DAL,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Marcus Pettersson,VAN,Plus/Minus,3.0,0.0,0.0,2.0,2.0,,2.0,0.0,3.0,,,
Nathan MacKinnon,COL,Points,3.0,0.0,1.0,2.0,3.0,,1.0,0.0,1.0,,,
Niko Mikkola,FLA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Rasmus Andersson,VGK,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-2.0,,,
Olen Zellweger,ANA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,1.0,,,
Cole Caufield,MTL,Points,3.0,0.0,2.0,1.0,3.0,,0.0,0.0,2.0,,,
Connor Murphy,EDM,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-2.0,,,
Jaccob Slavin,CAR,Plus/Minus,3.0,0.0,0.0,0.0,0.0,,0.0,0.0,3.0,,,
Jared Spurgeon,MIN,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,1.0,0.0,3.0,,,
K'Andre Miller,CAR,Points,3.0,0.0,0.0,3.0,3.0,,0.0,2.0,2.0,,,
Chris Kreider,ANA,Assists,3.0,0.0,1.0,3.0,4.0,,0.0,0.0,2.0,,,
K'Andre Miller,CAR,Assists,3.0,0.0,0.0,3.0,3.0,,0.0,2.0,2.0,,,
Brayden McNabb,VGK,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Dylan Holloway,STL,Plus/Minus,3.0,0.0,0.0,3.0,3.0,,1.0,5.0,3.0,,,
Dylan Holloway,STL,Assists,3.0,0.0,0.0,3.0,3.0,,1.0,5.0,3.0,,,
Dylan Holloway,STL,Points,3.0,0.0,0.0,3.0,3.0,,1.0,5.0,3.0,,,
Martin Necas,COL,Assists,3.0,0.0,1.0,3.0,4.0,,0.0,0.0,1.0,,,
Esa Lindell,DAL,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Robert Thomas,STL,Plus/Minus,3.0,0.0,2.0,0.0,2.0,,1.0,0.0,3.0,,,
Aaron Ekblad,FLA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,2.0,,,
Lane Hutson,MTL,Points,3.0,0.0,1.0,2.0,3.0,,1.0,0.0,2.0,,,
Dmitry Kulikov,FLA,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Alex Vlasic,CHI,PIM,2.0,0.0,0.0,1.0,1.0,,0.0,2.0,2.0,,,
Elias N. Pettersson,VAN,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,-1.0,,,
Josh Manson,COL,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Ilya Mikheyev,CHI,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,1.0,,,
Nils Lundkvist,DAL,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Nikolaj Ehlers,CAR,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,3.0,,,
Tomas Nosek,FLA,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Brock Boeser,VAN,Goals,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,1.0,,,
Justin Hryckowian,DAL,Points,2.0,0.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,
Filip Hronek,VAN,PIM,2.0,0.0,0.0,1.0,1.0,,0.0,2.0,1.0,,,
Jacob Bernard-Docker,DET,PIM,2.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Max Sasson,VAN,Blocked Shots,2.0,0.0,1.0,1.0,2.0,,2.0,0.0,1.0,,,
Frank Nazar,CHI,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,-2.0,,,
Taylor Hall,CAR,PIM,2.0,0.0,0.0,1.0,1.0,,0.0,2.0,1.0,,,
Justin Hryckowian,DAL,PIM,2.0,0.0,1.0,1.0,2.0,,1.0,2.0,1.0,,,
Brock Boeser,VAN,Points,2.0,0.0,2.0,0.0,2.0,,0.0,0.0,1.0,,,
Marcus Pettersson,VAN,Points,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,3.0,,,
Patrick Kane,DET,PIM,2.0,0.0,0.0,1.0,1.0,,1.0,2.0,-2.0,,,
Sebastian Aho,CAR,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,
