player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Barclay Goodrow,SJ,PIM,17.0,0.0,0.0,0.0,0.0,,0.0,17.0,0.0,,,
Nathan MacKinnon,COL,PIM,15.0,0.0,0.0,0.0,0.0,,0.0,15.0,-1.0,,,
J.J. Moser,TB,PIM,9.0,0.0,1.0,0.0,1.0,,0.0,9.0,1.0,,,
Justin Barron,NSH,PIM,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,0.0,,,
MacKenzie Weegar,UTA,PIM,7.0,0.0,0.0,0.0,0.0,,2.0,7.0,-2.0,,,
Nicolas Roy,COL,PIM,7.0,0.0,0.0,0.0,0.0,,1.0,7.0,-1.0,,,
Jake Walman,EDM,Blocked Shots,7.0,0.0,0.0,0.0,0.0,,7.0,0.0,-1.0,,,
Cole Sillinger,CBJ,PIM,7.0,0.0,0.0,0.0,0.0,,1.0,7.0,-2.0,,,
Jake McCabe,TOR,PIM,7.0,0.0,0.0,0.0,0.0,,1.0,7.0,0.0,,,
Logan Stanley,BUF,PIM,7.0,0.0,0.0,0.0,0.0,,1.0,7.0,0.0,,,
Brendan Gallagher,MTL,PIM,7.0,0.0,0.0,0.0,0.0,,0.0,7.0,1.0,,,
Matty Beniers,SEA,PIM,5.0,0.0,1.0,0.0,1.0,,0.0,5.0,-1.0,,,
Eeli Tolvanen,SEA,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,,,
Nikita Zadorov,BOS,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,
Brandt Clarke,LA,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,2.0,-1.0,,,
Ryan Hartman,MIN,PIM,5.0,0.0,1.0,0.0,1.0,,0.0,5.0,1.0,,,
Beck Malenstyn,BUF,PIM,5.0,0.0,1.0,0.0,1.0,,0.0,5.0,1.0,,,
Trent Frederic,EDM,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,
Samuel Helenius,LA,PIM,5.0,0.0,0.0,0.0,0.0,,0.0,5.0,0.0,,,
Zack Ostapchuk,SJ,PIM,5.0,0.0,0.0,0.0,0.0,,1.0,5.0,0.0,,,
Esa Lindell,DAL,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,0.0,-1.0,,,
Jack Quinn,BUF,Plus/Minus,4.0,0.0,3.0,1.0,4.0,,0.0,0.0,4.0,,,
Connor Murphy,EDM,PIM,4.0,0.0,0.0,0.0,0.0,,4.0,4.0,-1.0,,,
Noah Dobson,MTL,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
Rasmus Dahlin,BUF,Plus/Minus,4.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Troy Stecher,TOR,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Pavel Buchnevich,STL,PIM,4.0,0.0,0.0,0.0,0.0,,1.0,4.0,-1.0,,,
Boone Jenner,CBJ,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,2.0,0.0,,,
Tony DeAngelo,NYI,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,-1.0,,,
Nate Schmidt,UTA,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Parker Wotherspoon,PIT,PIM,4.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.0,,,
Moritz Seider,DET,Blocked Shots,4.0,0.0,0.0,1.0,1.0,,4.0,0.0,-1.0,,,
K'Andre Miller,CAR,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
Ryan McLeod,BUF,Plus/Minus,4.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Jason Zucker,BUF,Plus/Minus,4.0,0.0,1.0,1.0,2.0,,1.0,2.0,4.0,,,
Connor Murphy,EDM,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,4.0,-1.0,,,
Beckett Sennecke,ANA,PIM,4.0,0.0,0.0,0.0,0.0,,2.0,4.0,0.0,,,
Andrei Svechnikov,CAR,PIM,4.0,0.0,0.0,1.0,1.0,,0.0,4.0,-1.0,,,
Brian Dumoulin,LA,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Jack Quinn,BUF,Points,4.0,0.0,3.0,1.0,4.0,,0.0,0.0,4.0,,,
Jeremy Lauzon,VGK,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Rasmus Dahlin,BUF,Assists,3.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Rasmus Dahlin,BUF,Points,3.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Robert Thomas,STL,Plus/Minus,3.0,0.0,0.0,2.0,2.0,,1.0,0.0,3.0,,,
Jimmy Snuggerud,STL,Points,3.0,0.0,1.0,2.0,3.0,,0.0,2.0,2.0,,,
Ondrej Palat,NYI,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Mattias Samuelsson,BUF,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,1.0,,,
Mathew Barzal,NYI,Points,3.0,0.0,1.0,2.0,3.0,,0.0,0.0,1.0,,,
Jonas Brodin,MIN,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Vladimir Tarasenko,MIN,Plus/Minus,3.0,0.0,0.0,2.0,2.0,,0.0,0.0,3.0,,,
Adam Larsson,SEA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Ryan McLeod,BUF,Assists,3.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Ryan McLeod,BUF,Points,3.0,0.0,0.0,3.0,3.0,,0.0,0.0,4.0,,,
Owen Power,BUF,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,1.0,0.0,3.0,,,
Kris Letang,PIT,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Ben Chiarot,DET,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Sam Malinski,COL,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,1.0,,,
Ryan Shea,PIT,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,0.0,,,
Alexis Lafreniere,NYR,Goals,3.0,0.0,3.0,0.0,3.0,,0.0,0.0,2.0,,,
Ryan Poehling,ANA,Plus/Minus,3.0,0.0,1.0,1.0,2.0,,0.0,0.0,3.0,,,
Adam Edstrom,NYR,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Quinn Hughes,MIN,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Andrew Peeke,BOS,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Danila Yurov,MIN,Plus/Minus,3.0,0.0,1.0,0.0,1.0,,0.0,2.0,3.0,,,
Oliver Ekman-Larsson,TOR,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,2.0,-1.0,,,
Alexandre Carrier,MTL,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Macklin Celebrini,SJ,Blocked Shots,3.0,0.0,1.0,0.0,1.0,,3.0,0.0,-1.0,,,
Ian Cole,UTA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-2.0,,,
Jack Quinn,BUF,Goals,3.0,0.0,3.0,1.0,4.0,,0.0,0.0,4.0,,,
Brandon Montour,SEA,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,-1.0,,,
Bryan Rust,PIT,Points,3.0,0.0,2.0,1.0,3.0,,0.0,0.0,2.0,,,
Ryan McDonagh,TB,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,0.0,,,
Mike Matheson,MTL,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,,,
Mario Ferraro,SJ,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,,,
Alexis Lafreniere,NYR,Points,3.0,0.0,3.0,0.0,3.0,,0.0,0.0,2.0,,,
Thomas Harley,DAL,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,2.0,0.0,,,
Dante Fabbro,CBJ,Blocked Shots,3.0,0.0,1.0,0.0,1.0,,3.0,0.0,-1.0,,,
Braden Schneider,NYR,Blocked Shots,3.0,0.0,0.0,0.0,0.0,,3.0,0.0,1.0,,,
Dylan Holloway,STL,Plus/Minus,2.0,0.0,1.0,0.0,1.0,,0.0,0.0,2.0,,,
Jordan Kyrou,STL,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,-1.0,,,
Jimmy Snuggerud,STL,Assists,2.0,0.0,1.0,2.0,3.0,,0.0,2.0,2.0,,,
Jimmy Snuggerud,STL,PIM,2.0,0.0,1.0,2.0,3.0,,0.0,2.0,2.0,,,
Jimmy Snuggerud,STL,Plus/Minus,2.0,0.0,1.0,2.0,3.0,,0.0,2.0,2.0,,,
