Sport,tier,rank_score,player,team,opp,prop_label,pick_type,line,bet_direction,edge,proj,hit_rate,L5 Avg,Szn Avg,L5 Over,L5 Under,opp_def_tier,game_time,prop_norm,espn_athlete_id
CBB,A,1.37,Aday Mara,MICH,ILL,Rebounds,Goblin,3.5,OVER,3.25,6.75,1,7,6.5,5,0,Elite,02/27 08:00PM,reb,
CBB,A,1.31,Boogie Fland,FLA,ARK,Steals,Goblin,0.5,OVER,1.75,2.25,1,2,2.5,5,0,Weak,02/28 08:30PM,stl,
CBB,A,1.31,Luke Skaljac,M-OH,WMU,Points,Standard,10,OVER,4.4,14.4,0.8500000000000001,13.8,15,4,1,Weak,02/27 06:00PM,pts,
CBB,A,1.29,L.J. Cason,MICH,ILL,Points,Goblin,4.5,OVER,6.799999999999999,11.3,0.9,13,9.6,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.27,Rueben Chinyelu,FLA,ARK,Rebounds,Goblin,9.5,OVER,2.799999999999999,12.3,0.6499999999999999,11.6,13,3,2,Weak,02/28 08:30PM,reb,
CBB,A,1.26,L.J. Cason,MICH,ILL,Points,Goblin,5.5,OVER,5.799999999999999,11.3,0.9,13,9.6,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.24,Xaivian Lee,FLA,ARK,Points,Goblin,9.5,OVER,3.100000000000001,12.6,0.65,14.4,10.8,4,1,Weak,02/28 08:30PM,pts,
CBB,A,1.24,David Mirkovic,ILL,MICH,Points,Goblin,7.5,OVER,6.700000000000001,14.2,0.8500000000000001,14.4,14,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.24,Darius Acuff,ARK,FLA,Points,Goblin,19.5,OVER,8.75,28.25,0.95,30,26.5,5,0,Above Avg,02/28 08:30PM,pts,
CBB,A,1.23,Rafael Castro,GW,DAY,Fantasy Score,Goblin,28.5,OVER,12.42,40.92,1,40.92,40.92,5,0,Above Avg,02/27 07:05PM,fantasy score,
CBB,A,1.22,Xaivian Lee,FLA,ARK,Assists,Goblin,3.5,OVER,2.35,5.85,0.65,6.6,5.1,4,1,Weak,02/28 08:30PM,ast,
CBB,A,1.22,Keaton Wagler,ILL,MICH,Fantasy Score,Goblin,23.5,OVER,13.685,37.185,1,36.26,38.11,5,0,Elite,02/27 08:05PM,fantasy score,
CBB,A,1.22,Dillon Mitchell,SJU,VILL,Points,Standard,8.5,UNDER,-2.95,5.55,0.8,3,8.1,0,5,Above Avg,02/28 08:00PM,pts,
CBB,A,1.22,Meleek Thomas,ARK,FLA,Points,Goblin,9.5,OVER,5.850000000000001,15.35,0.8500000000000001,15.8,14.9,4,1,Above Avg,02/28 08:30PM,pts,
CBB,A,1.22,Andrej Stojakovic,ILL,MICH,Points,Goblin,7.5,OVER,6,13.5,0.85,14.4,12.6,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.21,Alex Condon,FLA,ARK,Points,Goblin,13.5,OVER,2.949999999999999,16.45,0.65,18.6,14.3,4,1,Weak,02/28 08:30PM,pts,
CBB,A,1.21,Tomislav Ivisic,ILL,MICH,Fantasy Score,Goblin,16,OVER,8.555,24.555,1,25.06,24.05,5,0,Elite,02/27 08:05PM,fantasy score,
CBB,A,1.21,L.J. Cason,MICH,ILL,Points,Goblin,6.5,OVER,4.799999999999999,11.3,0.85,13,9.6,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.21,Trevon Brazile,ARK,FLA,Points,Goblin,8.5,OVER,3.700000000000001,12.2,0.9,12.4,12,5,0,Above Avg,02/28 08:30PM,pts,
CBB,A,1.21,Jake Davis,ILL,MICH,Points,Goblin,4.5,OVER,3.9,8.4,0.8,8.2,8.6,4,1,Elite,02/27 08:00PM,pts,
CBB,A,1.2,Aday Mara,MICH,ILL,Points,Goblin,7.5,OVER,3.35,10.85,1,10.2,11.5,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.2,Luke Skaljac,M-OH,WMU,Pts+Rebs+Asts,Standard,18.5,OVER,4.850000000000001,23.35,0.8,22.8,23.9,4,1,Weak,02/27 06:00PM,pra,
CBB,A,1.19,Tomislav Ivisic,ILL,MICH,Points,Goblin,7.5,OVER,5.15,12.65,0.85,14.2,11.1,5,0,Elite,02/27 08:00PM,pts,
CBB,A,1.19,Urban Klavzar,FLA,ARK,Points,Goblin,8.5,OVER,2.899999999999999,11.4,0.55,11,11.8,2,3,Weak,02/28 08:30PM,pts,
CBB,A,1.18,Acaden Lewis,VILL,SJU,Points,Goblin,9.5,OVER,5.149999999999999,14.65,0.8,15,14.3,4,1,Above Avg,02/28 08:00PM,pts,
CBB,A,1.18,Billy Richmond,ARK,FLA,Points,Goblin,12.5,OVER,5.299999999999997,17.8,0.85,20.4,15.2,5,0,Above Avg,02/28 08:30PM,pts,
CBB,A,1.18,Darryn Peterson,KU,ARIZ,Pts+Rebs,Standard,22.5,UNDER,-3.200000000000003,19.3,0.8,18.2,20.4,1,4,Elite,02/28 04:00PM,pr,
CBB,A,1.17,Peter Suder,M-OH,WMU,Pts+Rebs+Asts,Standard,23.5,OVER,3.649999999999999,27.15,0.8,25.4,28.9,4,1,Weak,02/27 06:00PM,pra,
CBB,A,1.17,Trevon Brazile,ARK,FLA,Pts+Rebs+Asts,Goblin,16.5,OVER,6.5,23,0.95,22.8,23.2,5,0,Above Avg,02/28 08:30PM,pra,
CBB,A,1.17,Darryn Peterson,KU,ARIZ,Pts+Asts,Standard,20.5,UNDER,-3.300000000000001,17.2,0.8,16.2,18.2,1,4,Elite,02/28 04:00PM,pa,
CBB,A,1.17,Eian Elmer,M-OH,WMU,Points,Standard,11.5,OVER,3.800000000000001,15.3,0.6,14.6,16,3,2,Weak,02/27 06:00PM,pts,
CBB,A,1.16,Peter Suder,M-OH,WMU,Points,Standard,13.5,OVER,4.25,17.75,0.6,16.6,18.9,3,2,Weak,02/27 06:00PM,pts,
CBB,A,1.16,Tomislav Ivisic,ILL,MICH,Rebounds,Goblin,3.5,OVER,2.9,6.4,0.8500000000000001,5.8,7,4,1,Elite,02/27 08:00PM,reb,
CBB,A,1.16,Alex Condon,FLA,ARK,Pts+Rebs+Asts,Goblin,24.5,OVER,2.449999999999999,26.95,0.7,28.8,25.1,4,1,Weak,02/28 08:30PM,pra,
CBB,A,1.16,Boogie Fland,FLA,ARK,Points,Goblin,9.5,OVER,2.400000000000002,11.9,0.6,12.4,11.4,3,2,Weak,02/28 08:30PM,pts,
CBB,A,1.16,Xaivian Lee,FLA,ARK,Pts+Asts,Standard,15.5,OVER,2.949999999999999,18.45,0.75,21,15.9,5,0,Weak,02/28 08:30PM,pa,
CBB,A,1.16,Darryn Peterson,KU,ARIZ,Pts+Rebs+Asts,Standard,23.5,UNDER,-3.449999999999999,20.05,0.8,18.8,21.3,1,4,Elite,02/28 04:00PM,pra,
CBB,A,1.16,Javon Bennett,DAY,GW,Fantasy Score,Goblin,22.5,OVER,4.400000000000002,26.9,0.8,27.42,26.38,4,1,,02/27 07:05PM,fantasy score,
CBB,A,1.15,Acaden Lewis,VILL,SJU,Points,Goblin,10.5,OVER,4.149999999999999,14.65,0.8,15,14.3,4,1,Above Avg,02/28 08:00PM,pts,
CBB,A,1.15,David Mirkovic,ILL,MICH,Points,Goblin,9.5,OVER,4.700000000000001,14.2,0.8500000000000001,14.4,14,4,1,Elite,02/27 08:00PM,pts,
